"","OBS","ARIMA","ETS","FTS_SA"
"585",198855,204149.554502513,206450.470998818,218476.102724351
"586",182962,197182.114504858,203722.779246983,186617.246813972
"587",206894,186986.187024513,195872.597347776,168710.719347872
"588",194561,202122.237397725,200384.635758871,209177.390352474
"589",183640,194711.403224677,198344.511709142,180720.239547272
"590",190099,187517.615533751,192848.857393315,172919.467759857
"591",212794,191199.873392062,192002.479686345,186579.392339864
"592",184761,205945.377942071,200314.184105655,225093.332862003
"593",219343,188523.655828175,194488.702504063,172156.906987563
"594",205415,210691.55693584,204381.482450168,246157.265528619
"595",202943,202793.069436835,205009.694223996,187232.815985993
"596",221843,201547.980884191,204431.926728156,196350.92627662
"597",188600,214161.363979379,211431.433910655,227437.941335942
"598",207656,193438.309174618,202777.045718954,169694.265680528
"599",208897,205254.697837048,204900.611361243,227357.653855806
"600",177689,206416.190524334,206681.318330624,210757.697786947
"601",190778,186279.11180093,195628.751275088,161254.664810844
"602",190518,193635.457532087,193965.135144784,196333.791757397
"603",234951,193052.389970547,192847.08599517,191861.066227483
"604",212376,221866.914967119,209449.523094547,258355.692453602
"605",241844,208929.345043607,210814.880821039,199854.847265718
"606",232836,228779.032160734,223113.367711262,273196.586023857
"607",253138,224748.481102602,227126.045211405,219715.657090738
"608",263924,239248.291495379,237476.768132163,273335.759227162
"609",241700,248335.946164521,247999.42912434,274830.966819041
"610",283405,235990.198748901,245785.224902795,233651.545596106
"611",262729,264202.782680346,260656.381257858,304372.854998344
"612",217025,253395.153141831,261702.306413944,241662.760746203
"613",242456,224727.065088261,244561.206337531,184001.864154503
"614",239214,240316.842511752,243977.561953946,240647.153693194
"615",268285,238496.414163469,242359.520758338,236116.930399708
"616",283294,257691.588417077,252680.032526496,295332.231348867
"617",274542,269076.947468177,264827.110379968,297471.833830691
"618",292422,265380.758849651,268846.832616346,275356.553365761
"619",305384,278444.916864845,278259.622556043,307547.377039632
"620",299556,288974.211218033,289055.527502152,318555.209005314
"621",286610,287514.686941319,293386.908363987,301314.8915773
"622",280178,280750.246794934,290997.879478944,276522.76501782
"623",187374,277371.734732374,287035.326409431,273262.239332256
"624",91314,216830.033308512,248509.495893027,139165.079241783
"625",180242,149494.722020324,187591.046938965,-2575.12166063522
"626",196546,199500.656036228,184951.992099034,168040.267736839
"627",266162,207428.943443088,189681.663186015,209939.012502639
