time;target;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/10/2015;7,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/10/2015;7,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/10/2015;7,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/11/2015;8,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/11/2015;8,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/11/2015;8,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/11/2015;7,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/11/2015;7,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/11/2015;7,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/11/2015;7,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/11/2015;7,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/11/2015;7,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/11/2015;7,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/11/2015;7,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/11/2015;7,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/11/2015;7,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/11/2015;8,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/11/2015;8,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/11/2015;7,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/11/2015;7,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/11/2015;7,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/11/2015;7,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/12/2015;7,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/12/2015;7,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/12/2015;7,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/12/2015;7,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/12/2015;7,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/12/2015;7,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/12/2015;7,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/12/2015;7,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/12/2015;7,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/12/2015;7,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/12/2015;7,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/12/2015;7,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/12/2015;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/12/2015;7,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/12/2015;6,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/12/2015;6,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/12/2015;6,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/12/2015;6,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/12/2015;6,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/12/2015;6,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/01/2016;6,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/01/2016;6,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/01/2016;6,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/01/2016;6,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/01/2016;6,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/01/2016;6,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/01/2016;5,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/01/2016;5,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/01/2016;5,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/01/2016;5,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/01/2016;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/01/2016;4,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/01/2016;4,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/01/2016;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/01/2016;4,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/01/2016;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/01/2016;4,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/01/2016;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/01/2016;4,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/02/2016;4,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/02/2016;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/02/2016;4,49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/02/2016;4,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/02/2016;4,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/02/2016;4,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2016;4,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/02/2016;4,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/02/2016;4,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/02/2016;4,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/02/2016;4,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/02/2016;4,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/02/2016;4,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/02/2016;5,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/02/2016;4,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/02/2016;4,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/02/2016;4,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/02/2016;4,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/02/2016;5,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/03/2016;5,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/03/2016;5,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/03/2016;6,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/03/2016;7,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/03/2016;7,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/03/2016;7,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/03/2016;7,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2016;7,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/03/2016;8,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/03/2016;7,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/03/2016;6,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/03/2016;7,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/03/2016;8,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/03/2016;8,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
