;MGLU3.SA.Close
12/12/2016;1,61734
13/12/2016;1,64531
14/12/2016;1,60953
15/12/2016;1,65859
16/12/2016;1,67188
19/12/2016;1,6375
20/12/2016;1,62109
21/12/2016;1,66281
22/12/2016;1,65234
23/12/2016;1,65313
26/12/2016;1,65625
27/12/2016;1,63906
28/12/2016;1,65828
29/12/2016;1,65891
02/01/2017;1,58922
03/01/2017;1,58438
04/01/2017;1,5
05/01/2017;1,55156
06/01/2017;1,54156
09/01/2017;1,47141
10/01/2017;1,50641
11/01/2017;1,52344
12/01/2017;1,625
13/01/2017;1,65625
16/01/2017;1,62359
17/01/2017;1,65625
18/01/2017;1,66484
19/01/2017;1,67813
20/01/2017;1,87344
23/01/2017;1,95312
24/01/2017;2,03813
26/01/2017;1,9925
27/01/2017;1,94203
30/01/2017;1,82187
31/01/2017;1,99984
01/02/2017;1,98438
02/02/2017;1,98438
03/02/2017;1,98438
06/02/2017;2,17172
07/02/2017;2,1875
08/02/2017;2,14062
09/02/2017;2,14062
10/02/2017;2,16062
13/02/2017;2,375
14/02/2017;2,33594
15/02/2017;2,40625
16/02/2017;2,4375
17/02/2017;2,55547
20/02/2017;2,75
21/02/2017;2,99219
22/02/2017;3,02609
23/02/2017;3,20438
24/02/2017;3,25172
01/03/2017;3,35938
02/03/2017;3,09375
03/03/2017;3,04703
06/03/2017;3,04719
07/03/2017;2,89219
08/03/2017;2,75
09/03/2017;2,89828
10/03/2017;2,67188
13/03/2017;2,65719
14/03/2017;2,70312
15/03/2017;2,74516
16/03/2017;3,06172
17/03/2017;2,87344
20/03/2017;3,05484
21/03/2017;2,875
22/03/2017;2,84938
23/03/2017;2,95312
24/03/2017;2,84531
27/03/2017;2,83594
28/03/2017;2,76016
29/03/2017;2,81797
30/03/2017;2,82812
31/03/2017;2,76719
03/04/2017;2,85922
04/04/2017;2,87172
05/04/2017;2,91922
06/04/2017;2,9375
07/04/2017;2,93047
10/04/2017;2,89062
11/04/2017;2,92672
12/04/2017;2,80422
13/04/2017;2,68766
17/04/2017;2,96484
18/04/2017;3,07641
19/04/2017;3,21875
20/04/2017;3,34687
24/04/2017;3,28125
25/04/2017;3,27344
26/04/2017;3,29906
27/04/2017;3,46844
28/04/2017;3,48109
02/05/2017;3,57781
03/05/2017;3,59375
04/05/2017;3,54688
05/05/2017;4,04688
08/05/2017;4,10938
09/05/2017;4,23781
10/05/2017;4,375
11/05/2017;4,11719
12/05/2017;4,14062
15/05/2017;4,25781
16/05/2017;4,40625
17/05/2017;4,38344
18/05/2017;3,67188
19/05/2017;3,88281
22/05/2017;3,46688
23/05/2017;3,77953
24/05/2017;3,90125
25/05/2017;3,88641
26/05/2017;3,98438
29/05/2017;3,98438
30/05/2017;4,0625
31/05/2017;3,92188
01/06/2017;3,86906
02/06/2017;3,77344
05/06/2017;3,70297
06/06/2017;3,70312
07/06/2017;3,89828
08/06/2017;4,01891
09/06/2017;3,9375
12/06/2017;3,87984
13/06/2017;3,99484
14/06/2017;4,01562
