time;target;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/01/2016;37497;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/01/2016;38376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/01/2016;38630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/01/2016;40406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/02/2016;40570;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/02/2016;38596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/02/2016;39589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/02/2016;40822;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/02/2016;40592;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/02/2016;40377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/02/2016;39318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/02/2016;39808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/02/2016;40093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/02/2016;40948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/02/2016;41631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/02/2016;41478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/02/2016;41543;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/02/2016;43235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/02/2016;42521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/02/2016;42085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/02/2016;41888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/02/2016;41593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/02/2016;42794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/03/2016;44122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/03/2016;44893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/03/2016;47193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/03/2016;49085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/03/2016;49246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/03/2016;49102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/03/2016;48665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/03/2016;49571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/03/2016;49639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/03/2016;48867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/03/2016;47130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/03/2016;47763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/03/2016;50914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/03/2016;50815;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/03/2016;51172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/03/2016;51010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/03/2016;49690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/03/2016;49657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/03/2016;50838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/03/2016;51155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/03/2016;51249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2016;50055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/04/2016;50562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/04/2016;48780;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/04/2016;49054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/04/2016;48096;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/04/2016;48513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/04/2016;50293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/04/2016;50165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/04/2016;52002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/04/2016;53150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/04/2016;52411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/04/2016;53228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/04/2016;52894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/04/2016;53710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/04/2016;53631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/04/2016;52908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/04/2016;51862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/04/2016;53083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/04/2016;54478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/04/2016;54312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/04/2016;53911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/05/2016;53562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/05/2016;52260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04/05/2016;52553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/05/2016;51671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/05/2016;51718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/05/2016;50990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/05/2016;53071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/05/2016;52764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/05/2016;53241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/05/2016;51804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/05/2016;51803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/05/2016;50839;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/05/2016;50562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/05/2016;50133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/05/2016;49723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/05/2016;49330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/05/2016;49345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/05/2016;49483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/05/2016;49051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/05/2016;48964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/05/2016;48472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/06/2016;49013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02/06/2016;49887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03/06/2016;50619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/06/2016;50432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/06/2016;50488;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08/06/2016;51629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
